user_id,current_empathy,hitchhiker_count,datetime,category,typeof,payload
20251216132227,0,0,20251216132227,event,session_start,"session_started"
20251216132227,0,0,20251216132227,state,set_empathy,"0"
20251216132227,0,0,20251216132227,state,update_progress,"Hitchhiker 0"
20251216132227,0,0,20251216132228,state,update_empathy,"-5"
20251216132227,0,0,20251216132228,state,update_empathy,"-5"
20251216132227,0,0,20251216132229,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132233,state,update_empathy,"-5"
20251216132227,0,0,20251216132233,state,update_empathy,"-5"
20251216132227,0,0,20251216132233,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132234,action,dialogue_choice,"{""alignment"":""unspecified"",""decision_ms"":267,""line_id"":""28"",""line_text"":""Back again? Thought you'd speed off."",""text"":""Yeah, I'm watching you. #alignment=negative""}"
20251216132227,0,0,20251216132234,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132234,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132235,action,dialogue_choice,"{""alignment"":""unspecified"",""decision_ms"":132,""line_id"":""41"",""line_text"":""This ride's cold, just like you."",""text"":""I'm dropping you off. #alignment=negative""}"
20251216132227,0,0,20251216132235,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132235,action,dialogue_choice,"{""alignment"":""unspecified"",""decision_ms"":-1,""line_id"":""41"",""line_text"":""This ride's cold, just like you."",""text"":""Yeah, I'm watching you. #alignment=negative""}"
20251216132227,0,0,20251216132235,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132236,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132237,action,dialogue_choice,"{""alignment"":""unspecified"",""decision_ms"":682,""line_id"":""41"",""line_text"":""This ride's cold, just like you."",""text"":""I'm dropping you off. #alignment=negative""}"
20251216132227,0,0,20251216132237,action,dialogue_skip,"typing_skip"
20251216132227,0,0,20251216132238,state,update_empathy,"-5"
20251216132227,0,0,20251216132238,state,update_empathy,"-5"
20251216132227,0,0,20251216132238,action,dialogue_skip,"typing_skip"
